BOROUGH,YEAR,WEEK,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED
BRONX,2013,1,130,3,37,2,5,0,88,1
BRONX,2013,2,110,0,30,0,1,0,79,0
BRONX,2013,3,97,0,31,0,1,0,65,0
BRONX,2013,4,84,0,31,0,2,0,51,0
BRONX,2013,5,97,1,29,1,3,0,65,0
BRONX,2013,6,118,0,29,0,1,0,88,0
BRONX,2013,7,126,1,47,1,0,0,79,0
BRONX,2013,8,112,0,30,0,4,0,78,0
BRONX,2013,9,131,1,32,1,3,0,96,0
BRONX,2013,10,121,0,47,0,2,0,72,0
BRONX,2013,11,99,1,36,1,2,0,61,0
BRONX,2013,12,95,0,29,0,1,0,65,0
BRONX,2013,13,93,0,22,0,6,0,65,0
BRONX,2013,14,135,0,34,0,4,0,97,0
BRONX,2013,15,123,0,28,0,5,0,90,0
BRONX,2013,16,103,0,28,0,5,0,70,0
BRONX,2013,17,120,0,35,0,8,0,77,0
BRONX,2013,18,115,0,33,0,5,0,77,0
BRONX,2013,19,123,1,29,0,5,0,89,1
BRONX,2013,20,163,2,42,2,8,0,113,0
BRONX,2013,21,89,1,28,1,7,0,54,0
BRONX,2013,22,141,0,31,0,8,0,102,0
BRONX,2013,23,136,0,44,0,11,0,81,0
BRONX,2013,24,126,3,24,2,5,0,97,1
BRONX,2013,25,140,0,31,0,10,0,99,0
BRONX,2013,26,138,1,26,1,14,0,98,0
BRONX,2013,27,147,0,23,0,14,0,110,0
BRONX,2013,28,126,1,17,1,13,0,96,0
BRONX,2013,29,154,0,27,0,11,0,116,0
BRONX,2013,30,116,1,27,0,7,0,82,1
BRONX,2013,31,127,0,33,0,9,0,85,0
BRONX,2013,32,103,0,23,0,11,0,69,0
BRONX,2013,33,124,0,28,0,10,0,86,0
BRONX,2013,34,117,0,27,0,13,0,77,0
BRONX,2013,35,115,2,32,2,7,0,76,0
BRONX,2013,36,125,1,26,1,7,0,92,0
BRONX,2013,37,133,0,33,0,8,0,92,0
BRONX,2013,38,138,1,43,1,10,0,85,0
BRONX,2013,39,122,0,32,0,8,0,82,0
BRONX,2013,40,128,1,30,1,9,0,89,0
BRONX,2013,41,113,1,29,1,2,0,82,0
BRONX,2013,42,130,0,40,0,7,0,83,0
BRONX,2013,43,129,1,33,1,2,0,94,0
BRONX,2013,44,104,2,36,1,4,1,64,0
BRONX,2013,45,113,3,29,2,5,0,79,1
BRONX,2013,46,145,1,33,1,2,0,110,0
BRONX,2013,47,140,1,41,1,2,0,97,0
BRONX,2013,48,108,0,37,0,1,0,70,0
BRONX,2013,49,96,0,39,0,2,0,55,0
BRONX,2013,50,117,0,36,0,0,0,81,0
BRONX,2013,51,122,1,38,0,3,0,81,1
BRONX,2013,52,102,0,37,0,2,0,63,0
BRONX,2014,1,93,1,21,1,1,0,71,0
